,Numero domanda,Testo domanda,Risposta Corretta,Immagine
0,25374,Gli ammortizzatori scarichi provocano un comportamento anomalo del veicolo in frenata,VERO,
1,25375,"Gli ammortizzatori scarichi provocano un comportamento anomalo del veicolo, particolarmente in curva",VERO,
2,25376,"In un veicolo a motore, gli ammortizzatori scarichi provocano l'usura non uniforme del battistrada dei pneumatici",VERO,
3,25377,"In un veicolo a motore, gli ammortizzatori scarichi aumentano il rischio di rottura delle molle delle sospensioni",VERO,
4,25378,"In un veicolo a motore, gli ammortizzatori scarichi provocano una diminuzione del comfort di marcia dei passeggeri",VERO,
5,25379,"In un veicolo a motore, gli ammortizzatori scarichi peggiorano la tenuta di strada",VERO,
6,25380,"In un veicolo, gli ammortizzatori scarichi provocano un anomalo funzionamento del motore",FALSO,
7,25381,"In un veicolo a motore, gli ammortizzatori scarichi provocano un maggior consumo di lubrificante",FALSO,
8,25382,"In un veicolo a motore, gli ammortizzatori scarichi, abbassando l'altezza da terra del telaio, migliorano la tenuta di strada del veicolo, specie in curva",FALSO,
9,25383,"In un veicolo a motore, gli ammortizzatori possono essere sostituiti con una sospensione rinforzata",FALSO,
10,25384,"Un veicolo a motore Ł dotato di sospensioni oppure di ammortizzatori, ma difficilmente di tutti e due",FALSO,
11,25385,"Gli ammortizzatori di un veicolo, se sono del tipo a circuito sigillato, non necessitano di manutenzione",FALSO,
